Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time,date,Price,Layer_class,Layer_floor,Release_day_before,lng,lat,level
徐汇,徐家汇,永新城,66,12988元/月 (季付价),高楼层/9层,1室2厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,3,567,0,1,1,1,0,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/034621bc-1348-40da-a4f2-b65fd51071eb.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,12988,高楼层,9,30,121.44942398273577,31.19922655639215,工业园区
浦东,世博,齐二小区,57,5600元/月 (季付价),低楼层/6层,2室1厅,南/北,15天前,1年以内,0.0,暂无数据,民水,民电,2,722,0,0,1,0,0,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/3d2b6b3c-1533-4cb0-8b7e-ef39d9be4912.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,5600,低楼层,6,15,121.52049616298947,31.189560040106535,地产小区
黄浦,黄浦滨江,上海滩花园,104,15000元/月 (季付价),低楼层/30层,2室2厅,南,22天前,1年以内,1.0,暂无数据,民水,民电,1,391,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/64ecfd5c-e674-45ba-8e11-1a56798fcd32.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,15000,低楼层,30,22,121.50656744019261,31.224748727132393,地产小区
浦东,南码头,临沂七村,55,5600元/月 (季付价),高楼层/6层,2室1厅,东,4天前,1年以内,0.0,暂无数据,民水,民电,3,201,0,0,0,0,1,0,0,0,0,0,https://image1.ljcdn.com/lease-image/house/5535d002-feb1-4b3d-9887-d0c1ea9a4df1.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,5600,高楼层,6,4,121.52221520892185,31.200338285574013,地产小区
徐汇,斜土路,日晖二村,32,5000元/月 (季付价),中楼层/5层,1室1厅,南,11天前,1年以内,0.0,暂无数据,民水,民电,4,19,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/71d8a0dd-d3c9-46e3-b904-517a1f5f12e2.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,5000,中楼层,5,11,121.47223063193856,31.199684359727136,地产小区
徐汇,田林,田林十四村,37,4900元/月 (季付价),高楼层/6层,1室0厅,南,19天前,1年以内,0.0,暂无数据,民水,民电,2,397,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/3f9865c3499b5d6a877765d0cc47d24d.jpeg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,4900,高楼层,6,19,121.4296855966125,31.181825232166425,村庄
徐汇,康健,健安坊,52,6000元/月 (季付价),中楼层/4层,2室1厅,南,2天前,1年以内,0.0,暂无数据,民水,民电,1,758,0,1,1,1,1,1,0,1,1,1,https://image1.ljcdn.com/lease-image/house/880b4afc-ed82-4742-902b-9faaf39a77fe.jpg.780x439.jpg,2019-07-13 10:49:00,2019-07-13,6000,中楼层,4,2,121.43042773979433,31.16324655786696,地产小区
浦东,世博,上南八村,30,4500元/月 (季付价),高楼层/6层,1室1厅,南,4天前,1年以内,0.0,暂无数据,民水,民电,4,420,0,1,1,1,1,1,0,1,1,0,https://image1.ljcdn.com/lease-image/house/4fe9791f-fed7-4095-a330-394c35be58da.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,4500,高楼层,6,4,119.17049048585565,29.327023522553233,村庄
闵行,梅陇,朱梅小区,81,5600元/月 (季付价),高楼层/6层,2室2厅,南,3天前,1年以内,0.0,暂无数据,民水,民电,0,0,0,1,1,1,1,1,0,0,1,0,https://image1.ljcdn.com/lease-image/house/55e0f370-f538-4bdc-97bf-23133783c38b.png.780x439.jpg,2019-07-13 10:50:00,2019-07-13,5600,高楼层,6,3,121.41961990281379,31.135235200556096,地产小区
黄浦,世博滨江,新华南园大厦,55,5500元/月 (季付价),低楼层/31层,1室1厅,南,1个月前,1年以内,1.0,暂无数据,民水,民电,3,927,0,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/lease-image/house/867dcfd1-f94b-4eee-948c-cc7281754d01.jpg.780x439.jpg,2019-07-13 10:50:00,2019-07-13,5500,低楼层,31,30,121.47762204781273,31.198894069953784,商务大厦
