,Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time
0,闵行,颛桥,银都新村(1至7区),42,2700元/月 (季付价),高楼层/6层,1室1厅,南,6天前,1~2年,无,暂无数据,民水,民电,1,850,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/12509e69-cdc8-4c9b-bee4-f55e89fd6fc8.jpg.780x439.jpg,2019-07-13 02:42:09
1,闵行,颛桥,银都新村(1至7区),42,2700元/月 (季付价),高楼层/6层,1室1厅,南,6天前,1~2年,无,暂无数据,民水,民电,1,850,1,1,1,1,1,1,0,0,1,1,https://image1.ljcdn.com/310000-inspection/12509e69-cdc8-4c9b-bee4-f55e89fd6fc8.jpg.780x439.jpg,2019-07-13 02:42:15
2,杨浦,东外滩,平凉路627弄,37,3500元/月 ,高楼层/6层,1室1厅,东南/南,6天前,暂无数据,无,暂无数据,民水,民电,2,891,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/24184962-6e9c-4105-adea-58da0959da22.jpg.780x439.jpg,2019-07-13 02:42:22
3,杨浦,东外滩,平凉路627弄,37,3500元/月 ,高楼层/6层,1室1厅,东南/南,6天前,暂无数据,无,暂无数据,民水,民电,2,891,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/24184962-6e9c-4105-adea-58da0959da22.jpg.780x439.jpg,2019-07-13 02:42:29
4,徐汇,衡山路,高安路2弄,66,8800元/月 ,中楼层/7层,2室1厅,南,5天前,暂无数据,暂无数据,暂无数据,民水,民电,4,103,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/prod-c8b17471-71a5-4dbf-88ef-96f2e0c0bc0e.jpg.780x439.jpg,2019-07-13 02:42:35
5,徐汇,衡山路,高安路2弄,66,8800元/月 ,中楼层/7层,2室1厅,南,5天前,暂无数据,暂无数据,暂无数据,民水,民电,4,103,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/prod-c8b17471-71a5-4dbf-88ef-96f2e0c0bc0e.jpg.780x439.jpg,2019-07-13 02:42:42
6,浦东,张江,盛大天地青春里2.0,45,4600元/月 ,中楼层/18层,1室0厅,东,4天前,暂无数据,有,暂无数据,商水,商电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/05330154-4335-4458-87bb-858f112886d0.png.780x439.jpg,2019-07-13 02:42:49
7,浦东,张江,盛大天地青春里2.0,45,4600元/月 ,中楼层/18层,1室0厅,东,4天前,暂无数据,有,暂无数据,商水,商电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/hdic-frame/05330154-4335-4458-87bb-858f112886d0.png.780x439.jpg,2019-07-13 02:42:55
8,浦东,金杨,金桥瑞仕花园,112,14000元/月 ,高楼层/12层,2室2厅,南,1天前,暂无数据,有,暂无数据,民水,民电,2,477,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/87db89fb-440a-40ae-a666-a2380641bf2f.jpg.780x439.jpg,2019-07-13 02:43:02
9,浦东,金杨,金桥瑞仕花园,112,14000元/月 ,高楼层/12层,2室2厅,南,1天前,暂无数据,有,暂无数据,民水,民电,2,477,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/87db89fb-440a-40ae-a666-a2380641bf2f.jpg.780x439.jpg,2019-07-13 02:43:08
