,Address,District,Community,Area,RentPrice,Layer,Shape,Toward,Release_Date,Rent_Period,Is_lift,Is_parking,water_way,electricity_way,Subwayline_Number,Subway_Distance,Is_TV,Is_fridge,Is_washer,Is_air,Is_heater,Is_bed,Is_heating,Is_wifi,Is_closet,Is_gas,Is_img,Catch_time
0,浦东,新场,新环西路546弄,93,2400元/月 ,中楼层/5层,2室1厅,南,4天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/7c519f87-d336-4a3d-b777-bb57d5d6e644.jpg.780x439.jpg,2019-07-13 02:21:24
1,浦东,新场,新环西路546弄,93,2400元/月 ,中楼层/5层,2室1厅,南,4天前,暂无数据,无,暂无数据,民水,民电,0,0,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/7c519f87-d336-4a3d-b777-bb57d5d6e644.jpg.780x439.jpg,2019-07-13 02:21:31
2,虹口,临平路,瑞虹新城铭庭,89,16000元/月 ,低楼层/33层,2室2厅,南,5天前,暂无数据,有,暂无数据,民水,民电,3,365,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/0065ed98-280b-4360-a788-1675783b1f7f.jpg.780x439.jpg,2019-07-13 02:21:37
3,虹口,临平路,瑞虹新城铭庭,89,16000元/月 ,低楼层/33层,2室2厅,南,5天前,暂无数据,有,暂无数据,民水,民电,3,365,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/0065ed98-280b-4360-a788-1675783b1f7f.jpg.780x439.jpg,2019-07-13 02:21:44
4,徐汇,斜土路,中山新村,31,4000元/月 ,高楼层/7层,1室0厅,南,6天前,暂无数据,无,暂无数据,民水,民电,4,431,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/ea27b67b-f521-47f9-849f-9d3c3d226091.jpg.780x439.jpg,2019-07-13 02:21:51
5,徐汇,斜土路,中山新村,31,4000元/月 ,高楼层/7层,1室0厅,南,6天前,暂无数据,无,暂无数据,民水,民电,4,431,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/ea27b67b-f521-47f9-849f-9d3c3d226091.jpg.780x439.jpg,2019-07-13 02:21:58
6,浦东,洋泾,巨东小区,47,5900元/月 ,低楼层/6层,2室1厅,南,1天前,暂无数据,无,暂无数据,民水,民电,5,10,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/30fd3728-03db-41f5-9ccd-96592e43bc2a.png.780x439.jpg,2019-07-13 02:22:04
7,浦东,洋泾,巨东小区,47,5900元/月 ,低楼层/6层,2室1厅,南,1天前,暂无数据,无,暂无数据,民水,民电,5,10,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/30fd3728-03db-41f5-9ccd-96592e43bc2a.png.780x439.jpg,2019-07-13 02:22:11
8,杨浦,五角场,三门路510弄,61,5000元/月 ,中楼层/7层,2室1厅,南,2天前,暂无数据,无,暂无数据,民水,民电,1,852,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/e95a8d45-5eba-4976-9f7c-6b13d5941f04.jpg.780x439.jpg,2019-07-13 02:22:17
9,杨浦,五角场,三门路510弄,61,5000元/月 ,中楼层/7层,2室1厅,南,2天前,暂无数据,无,暂无数据,民水,民电,1,852,0,0,0,0,0,0,0,0,0,0,https://image1.ljcdn.com/310000-inspection/e95a8d45-5eba-4976-9f7c-6b13d5941f04.jpg.780x439.jpg,2019-07-13 02:22:24
